isin,weight
NO0010096985,0.044191201317031074
JP3505000004,0.03686659633050868
US6935061076,0.06914405286319772
US1101221083,0.3016886549748638
JP3266400005,0.050771497037270345
US1924221039,0.03079429478189156
US6174464486,0.21260446113510498
AU000000WOW2,0.029691332752048997
ES0139140174,0.006606029108550252
US6826801036,0.022501826331505662
JP3294460005,0.00694184525424307
US02043Q1076,0.011210073540962023
GB00BLGZ9862,0.04133605485882184
GB0002652740,0.011152310485671377
JP3323040000,0.0028160880114526973
BE0003818359,0.006771437234372618
JP3855900001,0.006074748050601109
JP3197600004,0.027432630417097755
US8545021011,0.06680075621928698
US8552441094,0.3294153993580282
CH0012138605,0.023202554890004577
CH0114405324,0.026586089963972503
US90184L1026,0.07568269689761642
NL0006294274,0.010325026094861306
SE0000872095,0.008066748771144204
