isin,weight
JP3549600009,0.006147938559394028
NO0010096985,0.037613340842381056
JP3505000004,0.0349197660159645
US6935061076,0.0716361617594594
US1101221083,0.2498075913589042
JP3266400005,0.04774793840061925
US1924221039,0.02663827748645187
US6174464486,0.20913419857077195
AU000000WOW2,0.06404117644921936
ES0139140174,0.004618425689062213
US6826801036,0.04119450682741572
JP3294460005,0.013035306249246707
US02043Q1076,0.028935257459525878
GB00BLGZ9862,0.04109454622789229
GB0002652740,0.008156655911900686
JP3809200003,0.004614383268615163
JP3323040000,0.003756427436168903
BE0003818359,0.005815672939278401
JP3855900001,0.004584842937089308
JP3197600004,0.022247991495384832
US8545021011,0.05868133121126475
US8552441094,0.2387038257419088
CH0012138605,0.019264483876998865
CH0114405324,0.036318916610892774
US90184L1026,0.07777800103890666
